id,brand,category,name,price,image_filename,description,top_note,heart_note,base_note,longevity,karakter,shopee_link
1,HYVA ARVM,wanita,Inspired by Romance Wish,48000,ROMANCE-WISH.jpeg,"Aroma floral yang sexy dan fresh. Lembut dan feminin sepanjang hari.",Floral,Cucumber,Freesia,80,bunga mentimun segar dingin lembut santai siang hari keringat,https://shopee.co.id/hyva.arvm
2,HYVA ARVM,wanita,Inspired by Aqua Kiss,48000,AQUA-KISS.jpeg,"Kesegaran aquatic yang sporty. Menetralkan bau badan asam.",Sea Notes,Aloe Vera,Daisy,60,laut air pantai citrus dingin segar olahraga panas matahari,https://shopee.co.id/hyva.arvm
3,HYVA ARVM,wanita,Inspired by Scandalous,48000,SCANDALOUS.jpeg,"Aroma manis buah raspberry yang mewah dan elegan.",Raspberry,Peony,Praline,85,buah manis elegan pesta mewah malam hari kencan,https://shopee.co.id/hyva.arvm
4,HYVA ARVM,wanita,Inspired by Taylor Swift,48000,TYLOR-SWITH.jpeg,"Aroma manis buah yang ceria dan soft.",Apricot,Honeysuckle,Musk,70,buah manis ceria lembut kalem sekolah kantor,https://shopee.co.id/hyva.arvm
5,HYVA ARVM,wanita,Inspired by Pink Chiffon,48000,PINK-CHIFON.jpeg,"Wangi manis lembut, feminin, dan sedikit powdery.",Red Pear,Tiare Flower,Chiffon Musk,75,manis bedak lembut cantik ceria feminin,https://shopee.co.id/hyva.arvm
6,HYVA ARVM,unisex,Inspired by Baccarat Rouge 540,48000,BACCART.jpeg,"Kemewahan amberwood yang ikonik. Aroma sultan yang bold.",Saffron,Amberwood,Fir Resin,95,mewah sultan mahal kayu hangat bold elegan,https://shopee.co.id/hyva.arvm
7,HYVA ARVM,wanita,Inspired by Black Opium,48000,BLACK-OPIUM.jpeg,"Kombinasi kopi dan vanilla yang misterius.",Coffee,Jasmine,Vanilla,90,kopi manis elegan malam hari pesta menggoda,https://shopee.co.id/hyva.arvm
8,HYVA ARVM,wanita,Inspired by Vanilla Mango,48000,VANILA-MANGO.jpeg,"Perpaduan segar mangga tropis dan manis vanilla.",Mango,Peach,Vanilla,80,mangga buah tropis segar manis siang hari,https://shopee.co.id/hyva.arvm
9,HYVA ARVM,wanita,Inspired by Wild Vanilla,48000,WILD-VANILA.jpeg,"Aroma vanilla murni yang hangat dan klasik.",Vanilla Bean,Sugar,White Musk,85,vanilla manis hangat kalem klasik nyaman,https://shopee.co.id/hyva.arvm
10,HYVA ARVM,pria,Inspired by 212 VIP Man,48000,212-VIP-MAN.jpeg,"Aroma maskulin yang enerjik dan eksklusif.",Lime,Ginger,Leather,80,pria maskulin berani segar jahe sukses modern,https://shopee.co.id/hyva.arvm
11,HYVA ARVM,pria,Inspired by Dunhill Blue,48000,DUNHIL-BLUE.jpeg,"Kesegaran jeruk dan laut clean.",Lychee,Rosewood,Amber,80,jeruk leci kamu segar dingin maskulin kerja,https://shopee.co.id/hyva.arvm
12,HYVA ARVM,pria,Inspired by Lacoste Sport,48000,LACOSTE-SPORT.jpeg,"Aroma sangat fresh. Terbaik untuk olahraga.",Grapefruit,Juniper,Cedar,70,sporty segar jeruk olahraga keringat bersih,https://shopee.co.id/hyva.arvm
13,HYVA ARVM,pria,Inspired by One Million Lucky,48000,ONE-MILION-LUCKY.jpeg,"Wangi woodsy yang manis dan unik.",Plum,Hazelnut,Cedar,85,kayu manis unik memikat beruntung kacang,https://shopee.co.id/hyva.arvm
14,HYVA ARVM,unisex,Inspired by YSL Libre,48000,YSL-LIBRE.jpeg,"Kebebasan dalam aroma lavender mewah.",Lavender,Orange Blossom,Vanilla,90,lavender bunga mewah unisex bebas berkelas,https://shopee.co.id/hyva.arvm
15,HYVA ARVM,unisex,Inspired by PROMO BUNDLING 3 BOTOL,140000,bandling.WEBP,"Bebas pilih 3 varian apa saja.",Mix,Mix,Mix,100,promo paket hemat pilihan banyak,https://shopee.co.id/hyva.arvm
